Work_or_Weekend,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days_encoded,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months_encoded
0,2894.0,9998.0,8.45,3.0,600.0,272.0,15.0,19.0,1573.0,306.0,29.0,16.0,341.0,5.25058495,5.0,5.1,88.813559322,5.43333333333,89.17647058819999,6.0
1,2992.0,10445.5,8.29,13.0,688.0,214.0,26.5,30.0,1543.0,348.0,29.0,17.0,386.5,5.15116559,2.0,5.8,89.9316545113,5.708333333335,89.66807115875,7.0
